"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"daysofmadness","20 August 2022","This is a mess, it belts along at a fair pace but fumbles and bumbles while doing so and I think I know why.It's not a depiction of what actually happened it's Korg' take on it. Korg is the narrator and is telling us, the audience, the story of how they defeated Gor the God Butcher.The entire opening plays out with Korg' narration over the top and plays like someone telling you a story rather than action taking place in real time.I don't think it's a wild theory but if I'm wrong this is a very different movie.","
            7/10
            "
"Nomad007","15 July 2022","I may be done with the Marvel cinematic universe.The whole movie just felt like a joke. It was more like one of those cheap thrown together spoff movies that Hollywood pumps out to make fun of other film franchises. Even the serious parts felt campy and like a bad comedy.Compared to prior MCU there is constant language which was never really present in prior movies over the last year.Talk of group orgies. Also new.Nudity. New.Constant and over used ""inclusion"". Largely new.","
            4/10
            "
"IanHaymton","6 July 2022","The story it self in this movie is good, it's nothing we haven't seen before, but it's still good. But it's like they couldn't decide which direction to go with the story, so they went everywhere with it. Literally EVERYWHERE.On one hand we have a sad but also beautiful new happening/story surrounding Jane, which really got to me, and I wished they'd kept that realness and sense of honest reality throughout the movie. They didn't..The action scenes are cool and some intense, and the overall cinematic scenery is stunning, like we're use to receive from Marvel. And some scenes are really funny. But here's the problem, cause on the other hand they're trying too got damn hard to be exactly that: funny.It's like they've said: ""what can we joke about next?"" instead of focusing on the story. Instead of taking the heartfelt story they have, and made that the roots of this movie, they joke everything away. Jokes are meant to just spice things up a bit, put a little zing on it, not take over the whole show. This makes the story weak, and most of the story they're trying to deliver in this movie is lost. So why a score of 7?Cause the story between the jokes and orgie-humor, is that good.","
            8/10
            "
"SHU_Movies","7 July 2022","Thor: Ragnarok is a truly great movie that perfectly balances action, comedy and emotion through an interesting story. This movie was a fun mess. The main focus was on the comedy and action throughout a decent story that went downhill in the final act. It's decent, and Christian Pale (sorry, terrible joke) gives a great performance as Gorr The God Butcher - an interesting antagonist with a great motive. Like I say, the movie had a pretty great start with a solid first two acts. It just goes way downhill after that with a bad ending. Giving it a 7/10 is me being generous.","
            10/10
            "
"slightlymad22","7 July 2022","I just got out of Thor Love & ThunderSPOILER-FREE**** SPOILER-FREE**** SPOILER-FREE****Not as good as it could have been, but I liked it a lot more than Doctor Strange & The Multiverse of Madness. I think it has more comedy than Ragnarok, so if you didn't like Ragnarok, you probably really won't like this. But it got some huge laughs (see it with a packed crowd) and I did laugh out loud a few times. There is also some great use of Guns n Roses songs.Of the cast Hemsworth is great, I love this version of Thor, as opposed to one from the first two movies. Bale was superb, he was very creepy when he was onscreen!! Natalie Portman works in a way I didn't expect. I LOVE Natalie Portman, but I never cared about the Thor and Jane relatiinship. I was surprised at how much I got into it and their relationship in this one. Russell Crowe is clearly having fun, but he won't be for everyone. Tessa Thompson is no fun, but that's how her character is written, so it's not her fault. Where was the bad ass from Ragnarok?It's tone is a bit all over, the comedy is so front and centre it kind of takes away from the seriousness of what is happening and it is serious at times.The Jane/Mighty Thor storyline seemed a bit rushed and I'd have liked more Bale, but overall, I really liked it a lot and will be seeing it again.","
            7/10
            "
"Radio-1s_Mr-MovieMad-Ami_104-1FM","5 August 2022","A -{ B I G }- Screen Review ; Film Seen -{ Twice }- By Me.______________________________________________________Gorr the God Butcher: ""Call the axe!""Chris's Thor: ""I'll call the axe . . . When you call the DENTIST!""______________________________________________________For all the ""lavishly critical"" filmgoers on Planet Earth right now, here's the thing. -{ SO, YES }-... ""Thor: Love & Thunder"" { to be referred to here as ""Thor-4"" } is most certainly NOT without its flaws. { However } ...these flaws, in my humble opinion, are limited to what I've now come to refer to as: standard, run-of-the-mill ""Pandemic Handicaps"", accruing to the ( often ) -very- challenging restrictions placed on -entire- movie productions ( just as everybody else! ). Broadly speaking, these stringent protocols gave rise to multiple issues not only during principal photography, but even tended to create complex problems during the equally crucial -Post- production phase, as well. To give you an example of what I mean: in ""The"" major final battle sequence, one can -barely- discern the actual -face- of even a SINGLE ""Shadow Monster"", despite the fact that they appear to be literally ""everywhere"". BUT HAVING SAID THAT, Thor-4 in the final analysis, turned out to be a -VERY- satisfying picture for me, { -and- everyone in my family for that matter }, delivering in -several- of the ways that I had hoped it would, & in some cases even -far- outweighing my aspirations.And make no mistake. It's profoundly, profoundly, profoundly -{ H I L A R I O U S !!!! }-. But mirth aside, there is a -particularly- touching -{ R E D E M P T I O N 🌠 }- aspect to said picture that, ( in -my- particular instance ), had me in actual -tears-, by the end. I should probably point out here that Thor-4 features all of -{ FIVE }- Oscar Winners ( Christian Bale, Matt Damon, Natalie Portman, Taika Waititi and Russell Crowe ) not to mention yet another two -nominees- ( Melissa McCarthy and Bradley Cooper ). Furthermore, The-One-And-Only Christian Bale gives such a rigorous, ""almost painstakingly performed""; -practically- Oscar Worthy rendering of the eerie, supervillainous, phantasmaGORRical 'God-Butcher' ; that if you weren't -already- a believer, ( in his 'mesmerising' acting prowess ), you'll most certainly be one, now. A little disclaimer here, though: He's my -Most- admired male actor in the whole wide world, -Hands Down-. Oh & yes, last but by no means least: If you're a passionate Guns N' Roses afficianado, ( like yours truly ), then you're in for -{ at least a few }- SUPERBLY timed veritable ""theatre-obliterating"" aural TREATS, & BEATS!SUMMARY: If, like me, you're fed up with all the 'doom & gloom' created by this -{ seemingly }- ""Forever Pandemic"" ; then this should be a -{ terrific }- 2 hour long ""Mega Escape"" for you. If, on the other hand, you're someone who is inclined to chastizing this sort of ""movie-fun-&-frolic"" as being a bit too, say, ""absurdly fantastical"" ( or some such thing ) ; -inspite- of knowing -fully- well that you will shortly be CONSCIOUSLY opting to watch a -{ M A R V E L }- movie . . . Then I'd like to humbly recommend going & watching cars go by on the street ( or something equally staid ) . . . INSTEAD. Because Thor: Love & Thunder Is ""An Essentially Frivolous"", -{ Yet }- RICHLY SOULFUL ""Veritable Visual & Cinematic Feast"" ; That Never -Once- Forgets To Laugh At -Itself-, In Even The -Most- Seemingly Trivial of Moments. A Warm, Fuzzy, ""MIND BLOWINGLY ENTERTAINED"" . . . FULL SCORE!!!!!","
            7/10
            "
"luismcmlxii","7 July 2022","You want fun? You got it.That's it. Don't expect too much just turn off your brain and have fun, that's not bad but it's sad that it could've been way more than that.Christian Bale was great but he was wasted by giving him very little screen time.Natalie Portman as Mighty Thor was the best part and I still feel like they wasted her.Taika has proven with Jojo Rabbit that comedy and emotional scenes can coexist within the same movie, but with this film there's no time to feel empathy for the characters and there's no room for other feelings rather than laughing.-Spoiler Warning-
I really hope we get to see Jane as Mighty Thor again.","
            8/10
            "
"AfricanBro","8 July 2022","After endgame, I noticed marvel trailers only use cuts from the opening 15min, so everything after is more of a mystery and I like that. On that note though, I did watch a YouTube video on '10 things to remember before watching Thor' and basically everything it suggested would happen actually did happen, it was still interesting but I would suggest avoiding that one if you're one to look at recaps too.This is definitely the most schmaltzy take on Thor so far, it still kept its comedic and action elements. I love how it wasn't just a hero stuff but more on Thor's search for love and life's meaning. I love how they focused more on the actual action, not just the visuals which is what I felt some of the recent MCU movies did. It was also paced really well, didn't feel too long or too short. Gorr is definitely one of the best MCU villains, I still think Thanos was it, also love how Ultron looked at the internet once and it was enough to convince him humanity needs to go, just funny to me. So Gorr's definitely up there, with a more cognizant villain origin story. And his nickname 'The God Butcher' is so badass, I love it.One thing I didn't like about the movie is that there were slight inconsistencies in strength/power levels, Gorr would clearly have the upper hand and in an instant one of the Thors or Valkyrie have him fleeting, like you were whooping their ass 2s ago, wasn't too concerning though. The girl playing Gorr's daughter had terrible acting though, but she's just a kid so if she is coming back hope she does better. The scene sequence at the gods gathering felt too comedic for me, definitely justifying Gorr's hatred for them, but I thought they could have taken matters a little more seriously. Biggest problem with the movie was it was they tried sneaking in jokes at everywhere unprovoked.Still got a standing ovation at the end which shocked me, it was okay but not that good. For every good moment there is also a cringe one and I think that smudges the movie as a whole. Like the goats were so over done. Had low expectations but turned out better than M. O. M. In my opinion. I thought Zeus was ""killed"" way too easy, barely showed why he was the strongest and wisest god, just circus theatrics. I won't say much on the post credit scenes(2) but they got me really excited for whatever's coming next. I gave it a 7 but it's just about, the good things make me want to give it an 8 but the bad ones make me want to drop it to a 6. There's a good movie somewhere in there, still good enough to recommend watching though.","
            3/10
            "
"mauritsderuijter","6 July 2022","The movie is pretty much what you would expect when you've seen the trailers. It's good fun. People expecting a serious movie clearly don't know Taika Waititi. The jokes were a little overdone at times, not all were as funny. It's fun but it ain't Ragnarok. The Hulk and Grandmaster added to the success of that movie so in my opinion this one didn't live up to it's former one. Christian Bale was great but not exceptional. The movie hits and misses sometimes but is a solid 7.5 for me!","
            8/10
            "
"gitapar","25 July 2022","What could have been a poignant story dealing with grief and loss was ruined by too many cheap jokes. Tone it down. Less is more. The soundtrack was underwhelming. Also, Jane deserved better and Natalie Portman is better at drama than comedy. I think the only thing that was good in this movie was Christian Bale. But, because this is a Marvel movie and he's playing a ""disposable"" villain you already know how this ends without me needing to tell you. For shame. Why does Marvel have the tendency to kill of the three-dimensional villains that are actually interesting? They should keep pumping out complex and flawed villains, same as heroes. Otherwise, what's the point? For us to be bored to death? Mission accomplished. Marvel: Please do better.","
            7/10
            "
"spikeybwoy","6 July 2022","Got to see this at the UK premier last night and have to say I thoroughly enjoyed it. The narrative reminded me of a fairy tale and the way stories are passed from generation to generation, while Ragnarok is still my favourite Thor movie cudos to Marvel Studios for giving Taika Waititi the chance to make a super hero movie for kids of all ages.Oh and make sure to stay for the mid and end credit scenes both are awesome.","
            2/10
            "
"Joeltahapary","6 July 2022","Thor Love and Thunder is a good movie with an absolute good storyline. The only downside is that they could have done it way and way better if they took more time (and make the movie and especially some parts at the start) longer. Also, not all jokes were funny and some jokes totally downgrade scenes that would otherwise be very cool.","
            6/10
            "
"elizabethjeanhampton","15 July 2022","Very disappointing addition to the Thor franchise with such a pondering, predictable story. I won't give examples but decided to leave the theater early rather than waste my time. Sad that movie creativity is a thing of the past.","
            8/10
            "
"Donki","6 July 2022","Allow me to start of by saying that it's a worthwhile watch at the movies, as the visual spectacle and jokes will keep anyone well entertained during its runtime.So even if I'm giving it a lower rating I can easily recommend it. My rating comes from a place of love towards Thor movies.But I have to address the elephant in the room which is it's jokes. Don't get me wrong, the movie has a lot of very good jokes I genuinely laughed out loud, but the movie was so focused on delivering jokes non-stop that it became a parody of itself.This movie is the definition of sometimes less is more.Almost every moment that had some sort of heart to it is completely buried under a pile of jokes that made these moment completely irrelevant.Taika found a great balance of story and humor with Ragnarok. I mean, almost everyone praised how the humor he injected into the Thor, brought it to a whole new level. Easily on of the best movies of the Infinity Saga movies.So I'm a bit confused as to why they decided to go so overboard with the jokes, that it killed almost every character moment.Christian Bale's Gorr was highly anticipated, as we all know the acting chops he can bring to any project. And he did bring everything one would expect from any character he plays.Thing is ... he's the only one who tried to bring any amount of seriousness to the movie, and was severely underutilized. He was creepy and intimidating. His character had the right motivation for what he was doing. He had everything a good villain needs. I'm not exaggerating when I say that in the almost 2 hour runtime of the movie he was present about 25-30 minutes in total, most of which was in the climax of the movie.So if the main villain of the movie takes a back seat what was this all about? Well, in short it was romantic comedy between Thor and Jane. Emphasis on the comedy part, since the romance was severely overshadowed by constant need to inject comedy into every single scene.There was even a genuine moment for 2 gay characters, that was very well written, and would have worked so well as character development moments, if it wasn't squeezed in-between a major story beat and a returning joke, that overstayed it's welcome, since it was done for around the 6th time at this point.So my biggest gripe with the movie as whole is that it can't be taken serious at any level, as the movie handles itself as parody within the confines and logic of its own universe.","
            9/10
            "
"sayedabidali","7 July 2022","I pretty much loved this film. Because of its humour, CGI, VFX, Soundtrack and Impactful Emotional moments. I enjoyed watching it. It was really like a treat to me. I personally suggest you (who have not watched this film yet go watch it on big screen) from your busy schedule. Because it will entertain you in a best possible way. I loved two characters in this movie the Most and i.e Natalie Portman's Mighty Thor and Christian Bale's Gorr the God Butcher because they have a quite interesting, engaging storyline in this movie. So no complaints about this film unlike Doctor Strange 2.","
            10/10
            "
"singhr-01958","6 July 2022","I did read some not so good reviews, and honestly haven't liked any movie in Phase 4 (except Spidey which is Sony). But, this movie was quite good. Its a nice mix of emotions and fun. Even non-MCU fans will be able to relate. No complexity, just a nice movie.","
            9/10
            "
"gaetcazz","6 July 2022","A very colorful movie, with a lot of comedy that entertains, but there are also a lot of fighting and action scenes everywhere. Colorful and very lively, that's how I would define the film. Two fun hours at the cinema.","
            7/10
            "
"rheanlouisopiana","6 July 2022","Thor: Love and Thunder contains much more humor and still contains a story that is easy to follow and every characters are unforgettable. Christian Bale stands out as the villain and Chris Hemsworth and Natalie Portman's performance leads the films powerhouse cast in this most anticipated sequel.","
            5/10
            "
"nolanroshto","7 July 2022","Expect laughs, heart, and creativity, but don't expect a Ragnorak level movie.Unfortunately Thor: Love and Thunder can't be as good as Ragnorak simply because of when it's being released. Thor: Love and Thunder is the first Thor movie in what is essentially the new 'phase 1' of Marvel. There is a lot that needs to be set up and unfortunately Thor: Love and Thunder has to do it's part in setting up that greater story.All in all, it's an entertaining, well executed, movie that I walked out of in a good mood. Given what it has to accomplish in the overall Marvel narrative, I'd say that's an accomplishment. And with the ending that it has, I'm very excited to see what is set up in this movie payoff.","
            6/10
            "
"myspacehere","9 July 2022","Of course there are few funny scenes and few visually stunning sequences. But in the end it feels empty, like we wouldn't miss anything even if this film wasn't made.Also, I don't understand why Marvel doesn't make a proper 3D film when they have all the resources they need. Converting 2D film into 3D and then throwing it on our faces for more money is straight up cheating.","
            7/10
            "
"frankiesilver-91836","9 July 2022","After the overly-hyped and mostly disappointing Multiverse of Madness, I tampered my expectations for Love and Thunder despite it being a direct sequel to one of my favorite Marvel movies. I was right to do so.The concept already wasn't too great. Mighty Thor is pretty dumb to begin with but Gorr was an awesome villain idea. The Jane stuff didn't end up as awful as expected, but it still felt forced and her being ""a Thor"" is just stupid.They at least try to explain it, but how Mjölnir changes Jane doesn't happen to anyone else worthy. It also just makes Thor and Steve seem less special.This movie degrades Thor enough as is. He went from a humorous kickass god to now acting like a bumbling idiot. He genuinely is a parody of himself. The way the cast behaves doesn't fit the dark plot lines of Jane's cancer and a god butcher.Jane reappearing after being absent in Ragnarok felt weird. Still she looked awesome and this was probably her best appearance. I was expecting her to take over Thor's mantle permanently, but surprisingly she dies instead. I'm thankful they didn't kill off Thor, but Jane's death felt rushed and not impactful.Gorr's depiction by Christian Bale is downright wonderful. He brings his A-game, but we get very little of him. Gorr's suffering could've been fleshed out more and they could've explored the moral grey area of his goal. We get none of that. Instead we only see the GOD BUTCHER kill one god on screen, and they cut away during the decapitation! We see him terrorizing children most of his scenes, which is pleasantly terrifying but they should've done way way more with him. As it is this is a waste of both the character of Gorr and Christian Bale in the MCU.Everyone else gets next to nothing to do. The Guardians understandably leave early on, Korg and Valkeryie just tag along for nothing other than jokes and forced sexuality commnets, Lady Sif returns and is degraded as a character.No one is taken seriously for the sake of comedy. The serious opening with Gorr comes off as jarring because of this.Also the Warrior Three's deaths are made fun of and Darcy only gets one scene.Many of these jokes seem to actively be making fun of pre-Ragnarok Thor content.For a positive, I will say I loved the first act of this film. It was downright hilarious, most likely due to James Gunn collaborating with Taika. The Guardians' chemistry with Thor is awesome. By the time act 2 started I was still laughing out loud throughout, but the jokes made less sense and were either shock humor or unintentional. By the ending of the film I was just depressed at realizing this wasn't the Ragnarok 2 I expected.When you also take into account the shockingly unfinished looking CGI and special effects for Marvel standards you get a messy movie that is funny, but not well-constructed by any means.Ragnarok wasn't just funny, it had a deep, high stakes story behind it. This movie needed to not just be funny but flesh out its story and keep continuity better.This isn't the total miss that was The Dark World, but it's very much under the quality I'd expect from one of the most beloved Avengers.","
            4/10
            "
"brandonmckay8","6 July 2022","This is a really fun 2 hours, plenty of comedy & some really good action! Balance probably leans towards too much comedy but it was a very enjoyable film overall. So many cameos & some brilliant lines! Make sure to stay for 2 credit scenes.","
            1/10
            "
"Dominic_25_","10 July 2022","This is a great example of the MCU fatigue.This one feels like Taika Waititi wanted to inject more fun into his film but for me just came off as gimmicky and I got bored with the humor after a few minutes. The story is kind of just meh and the visuals are really bland but that is a staple of the MCU these days.Passable film but I was expecting more from Waititi.","
            5/10
            "
"nataliaanb","12 July 2022","That was such a disappointment... I'm huge MCU fan but this ... was just a joke. Some parody of Thor. Cannot not and shouldn't be compared to other Thor movies!","
            1/10
            "
"benjaminskylerhill","7 July 2022","Taika Waititi amps up the zany craziness of Ragnarok to unbelievable levels in this film, both for better and for worse. The movie is often hilarious due to how unpredictably absurd it is, but sometimes suffers due to the overbearing need it seems to feel to always have jokes in every scene, regardless of whether they fit in with what's happening in the movie.But, this is nothing new for Marvel. I only bring it up because it happens far more often in this film than in any other Marvel outing.What is new in this film (and quite fresh) is the villain. Christian Bale gives a surprisingly both creepy and heartfelt performances as the God Butcher. Right from the opening we have a deep compassionate understanding for why he does what he does, and the conclusion of the story gives him a very satisfying conclusion for his journey as well.I just wish there was more of him. He gets a great introduction and a great ending in which compelling parallels are drawn between him and Thor, but throughout the rest of the movie he's just ""evil possessed guy."" The motivations are still there, but I wanted to see more of what he was doing and how his possession was affecting his mind or personality.I was worried about how Jane would be as ""Lady-Thor,"" and thankfully her presence in the movie is warranted. She's written into the story in a way that both makes sense and actually amplifies the emotional stakes, which are sadly nonexistent in a lot of these Marvel films.The action is mostly pretty good, but kind of a mixed bag. The camerawork and selective use of colors is fun and frenetic, but the overuse of CGI is sometimes far too noticeable and makes the movie look...cheap. Cheaper than any other Thor movie. Cheap is not a word I like to use when describing $200 million movies, but there isn't a better one to use for this.Endings are hard to write, and the ending of this film (no spoilers) both works and doesn't work. There's a satisfying payoff to the themes of love and loss, but at the very end the story asks us to care about Thor's relationship to a character who we have not seen and know nothing about.It's a sweet and charming ending, but it left me feeling...colder than I think the filmmakers wanted me to feel. And that's because they didn't put in any work throughout the movie to make me feel as satisfied as the characters in the movie are by the ending's outcome.I do recommend this film, for Christian Bale's performance and for Taika Waititi's very distinct (if flawed) absurd method of telling stories with a lot of humor and heart and ambition. A lot of ambition.","
            7/10
            "
"bogdanmoisa","11 July 2022","This movie was a real parody. As a fan of Marvel movies, and a fan of Thor, this was the weakest movie that they have made. It was a real parody with the worst dialogs I have ever seen and heard. This was a movie for a 10 year old, maybe.","
            6/10
            "
"jddv","6 July 2022","Thor 4 is going to cause quite a bit of division, with some people loving the fast pacing and humour, and others citing a lack of character development with a flippant disregard of true, life-threatening danger.In a way, they'll both be right.There will also be a never-ending comparison to Thor: Ragnarok, with some justification, as TR was Taika's first foray into the MCU and therefore a breath of fresh air; but also with the same reasoning being a caveat that we are a bit inured to Taika's originality now, and thus not as easily impressed.While I agree that the director's penchant for not wasting time on minutiae allows the story to proceed apace, it felt as though the middle of the film failed to allow the antagonist to establish his bonafides as a true threat, reduced as he was to scaring children. Without going into specifics, the ending also nullified his emotional motivation that ""All gods must die.""However, the film makes up for some of these weaker points with imaginative use of powers, props and locations. But you aren't allowed a moment to digest the more serous moments, and end up leaving the cinema feeling a bit confused and uncertain as to whether you enjoyed what you just watched. Hence the division of opinion of those who watched the film, but didn't take more time to digest what they saw.So when you do see it, give yourself a few hours to let it soak in, then decide if you feel it was worthy of your time & money.","
            7/10
            "
"wafflepenguin","6 July 2022","This movie was absolutely explosive fun packed into about 2 hours, rarely wasting a minute. It's hard to get bored with the compelling villain (Gorr) and the enjoyable humour and action that's spread throughout. Though the story may not be the strongest, and I'm sure there's some decisions made that some people may not like, I definitely had fun. My one true complaint was that I felt like the romance in the movie didn't result in the most impactful emotional ending, but it's not terrible.","
            7/10
            "
"seige-hound","11 July 2022","Thor Love and Thunder is two movies. The first movie is another Thor Ragnarok, a goofy Taika Waititi comedy with lots of improv and silliness. The other is a dark and gritty story about Gorr's grief for his lost child, and how it parallels Thor's grief for the impending loss of Jane.The issue is it doesn't quite balance that. I'm not sure if that's the fault of Taika Waititi's direction or producer meddling, but either way, the film is a bit 'off'.The good stuff is good. Christian Bale as Gorr is fantastic. He nails the portrayal of both the grieving father, and the corrupted evil mastermind. Jane's story as Mighty Thor is also very compelling. If I could say one thing, would be that she should've been the main focus of the movie, with regular Thor as a side character/comic relief for an otherwise dark story told straight.That, or just save the Gorr story for a later time, and have another goofy Thor comedy ala Ragnarok. Have him hang out with the guardians more or something. I don't know. The problem with this movie is that with the slightly reduced run time of 2 hours, and the inconsistent mix of tones, the film feels unfocused and rushed. Which is disappointing, because of the two stories that it used up (Gorr's and Jane's).","
            1/10
            "
"smkashan","6 July 2022","Overall a good movie, brilliantly directed by Taika, manages to seamlessly move back and forth between hilarious comedy and dark moments. However it falls apart a bit towards the end as the ending was quite rushed, making the film feel like 10 minutes too short. Also No Way Home's multiverse exploration has skyrocketed everyone's expectations and we kinda want to see something about the multiverse in every Marvel movie now and when that doesn't happen its a bit disappointing. Apart from that this movie is good fun!","
            6/10
            "
"sentient-74528","12 July 2022","Bland story. Dull characters. I just couldn't care about them. It's a childish film, with silly jokes all over the place. Thor acts as a perfect imbecile all the time. Most of the story is about saving a bunch of children and defeating the bad guy. And of course, throw some woke nonsense to rub our noses in. The Marvel films just went slowly downhill. And I think this is the last of them I watch in the cinema. I just can't be bothered with Disney anymore. The film is so bad I can't even spoil it! It's already spoiled. Don't waste your time. Watch something else.","
            1/10
            "
"Brandon_Walker_Robinson","7 July 2022","Let me preface this by saying that I don't really love any of the other Thor movies. Ragnarok was actually a massive misstep for me. The slapstick comedy made me eyeroll almost every time out, not at all fitting any progressive tone from the previous Thor or Avengers movies before it. After loving Jojo Rabbit, I thought that every Taika Waititi product that I didn't enjoy was some exception to his excellence, but I shortly discovered that that was the only film I did care to love from him. I started to give up hope, especially after hearing Love and Thunder only adds to the silliness that Ragnarok had.I'm here to say that the comedy this time around wasn't as maddening for me. Some of it was legitimately funny or at least served a courteous chuckle; it never interfered with the action, the villain, or serious moments; and I think the majority of jokes that fell flat passed by so quickly that I wouldn't even realize it was an attempt at humor unless somebody said it was supposed to be funny (which is never good, but it's better if it goes without a hitch). The Zeus scene was admittedly worst than the Ragnarok levels of 'bad' and really brought the movie down during the time, but thankfully that was the only time that I really felt the brunt end of failed comedy. There were two other running gags during the film -- one involving certain animals which I laughed at the more they appeared, and the other involving weapons which really didn't work except the first time it happened. They even repeat a bit from Ragnarok that I thought worked more this time around simply because it took place on Earth instead of Asgard. Upon re-reading my own paragraph I feel like I may be giving this movie more credit in its humor than I feel it's owed, but I feel this is all relative when I say: ""At least it's not as bad as expected or as previously established."" I can't see how somebody who loved Ragnarok is only now going to be upset at the knockabout that this movie at times can be.Love and Thunder introduces Jane as Mighty Thor, and although it was great to see Natalie Portman return, the dichotomy between her two selves with no in-between was very jarring. I guess in a two-hour runtime you have to accept these little nuances to be skipped time to time and she isn't the only character to undergo an immediate change like this, but if you're coming off the Phase One MCU character of Jane who you remember you would never believe she would evolve this persona. I guess that's what happens when your character lives on as you take a hiatus from the universe as an actress, though. Regardless, this story is very Jane-centric and I think it is something that Ragnarok was dearly missing. She helps complete Thor, or at least for a life that Thor pines for. There is a backstory montage showing a relationship between Thor and Jane (almost in an ""never before seen footage"" kind of way) that displayed more chemistry between them than either Thor or The Dark World bothered to give off. Like I said, very heartfelt.This actually is a good transition to Gorr, because his origins are also derived from the love of another as well. This movie does that thing that the show House M. D. did (where a patient with a certain quirk delivered thematically for the doctors in the episode), so what was happening with Thor was also happening with Gorr regarding their attachment to the loved ones in their lives. It doesn't play like this for the whole movie, but it is still a present theme. Christian Bale is really good, but I'm not sure if he has enough moments to show this. He both frontends and bookends the film very strongly and shows up here and there with shadowy minions, and he is absolutely a dominant presence every time he is on screen, but I definitely could have had more of him. He is never served as cannon fodder for Waititi's comedy, so his scenes are always serious and impactful. His monologues are very captivating and will get a lot of clicks on YouTube, and the action set pieces with him are very diverse and engaging.I'll restate that Thor never really was my favorite, and unfortunately it could be because he isn't Earthbound. Any time this character is off of our planet, losing that grounded aspect really takes away from it all for me. Never before had I imagined after seeing the first Iron Man film that we would get to a point where we'd have rainbow bridges and rock-bodied aliens, and that can be detracting for me. That said, the Earth scenes here once again grabbed me most (as well as the scenes with the colorless portrayal, you'll know when you get to it) and the off-world stuff did not (especially once again the Zeus scene). When Asgard was destroyed in Ragnarok I thought that was the best thing that could happen to this franchise if it meant more Earth scenes. There are some scenes away from Earth with nice grounded conversation, and these are the moments that almost reminded me of what Jojo Rabbit did so well. Valkyrie was also normalized a lot in this movie and I dug her every time she was on screen because of it.Despite some of the cringe that was afoot, I had a good time with this sequel. Given that I do not relatively enjoy the Thor films as much as many of the other MCU films, I can easily put this above the other three myself. It was a visual delight, the music was well done, the actors all gave good performances, and characters had solid arcs to play out. Furthermore, I like that it was two hours and they didn't needlessly add in other characters which didn't fit this story, even if they were a part of previous Thor films. I won't say this movie completely fuses the humor to my liking for this character, but the movie itself is the best/most entertaining of Thor that I have seen so I suppose I am accepting of it.","
            10/10
            "
"sebastian-gariglio","14 July 2022","Disney is a machine that catch good movies transform in trash food movies.Thor is now a movie for children under 12 years.Instead Thor as hero, Thor is a Teddy bear.It is a shame.","
            6/10
            "
"Top_Dawg_Critic","8 August 2022","Sure it was cheese, but it was Pule cheese, the best there is. I'm shocked how many reviewers can't count past one, because production value alone is worth at least five stars. I really wasn't expecting much with all the negativity, but wow was I pleasantly surprised! Just when I thought the industry ran out of superhero writing ideas, this little gem comes along, and we were all in tears laughing so hard. Even the story-telling narration was a brilliant touch and elevated the plot and the laughs. The entire screenplay had everything and something for everyone. The humor, the romance, family dynamics, and so on, everything imo was perfection. All casting and performances were outstanding. The almost 2 hour runtime flew by with the excellent pacing. The set designs, S/VFX and cinematography were amazing. The score and soundtrack were spot-on. I can't wait to see this one again, as it's now one of my favorite superhero films of all time. If you haven't seen it, ignore the whiners, this is one heck of a fun, entertaining and hilarious popcorn flick. It's a 9.5 rounded up to a perfect 10/10 from me.","
            4/10
            "
"vibhus-17780","7 July 2022","Eventhough I wasn't much hyped for Thor : Love and Thunder , yet I was disappointed . Major drawback of this movie was trying to keep everything funny and hilarious , even Thor loses throughout MCU journey was potrayed as joke and at end it felt like some spoof , but TBH most of the places comedy worked well , so i guarantee movie never fails to entertain you . Plot was weak and seems like it was exclusive made for children's watch . Huge cast in single movie and runtime is around 2hrs , so everything was jus rushed and felt incomplete . Overall just watch it for fun , don't expect something like Thor Ragnarok .( suma suma ovoru scene comedy , sarcasm , mock panren soli nala scene kuda keduthu vachurukingha le da )","
            7/10
            "
"aslihanbiyikoglu-103-842075","7 September 2022","I always looked forward for Marvel movies to come out, I didn't watch the trailers to keep the excitement at top, I arranged time for us to go see on the first days, the excitement, the intensity, the enjoyment. Not anymore. My daughter refused to go to Love and Thunder, she kept saying her friends hated it. I insisted and we just went to see it. Such a disappointment.The humor on Ragnarok was cleverly played. Action, story, Chris Hemsworth, excitement was all to the point. But Love and Thunder is like a bad middle school play, it is NOT funny, it is not exciting, it is not even a ""meh"" movie. I found myself regretting paying for the movie tickets. I don't want to watch a loser superhero, I don't want to see overly comics looking outfits, bad hair extensions, great actors doing terrible accents. I don't want stair skipping, skirt holding Zeus. Superhero movies were special because I wanted to feel those fight scenes, the emotions, the fear, the power of the winning. I don't think I rolled my eyes this much in a movie before. Only 3 good things about this movie was Christian Bale, the fighting scene effects at the end and naked Thor. That's it. So upset of the direction superhero movies are going.","
            5/10
            "
"benpulford-82589","19 August 2022","Not a bad romp. As usual though, the little box ticking bit in the middle, was ... well it was nauseating. It's either relevant to the story or it isn't. The rest of the film was an enjoyable, humorous, comedy. Yes. For me it was a comedy. Might have been a punchier film if it was tighter though - i.e. A bit long-winded/drawn-out in places. And can't help thinking the Christian Bale character would have been much more impactful / better served, if it hadn't have hinged around a 'chitty chitty bang bang child-catcher' role ... discuss ...","
            5/10
            "
